sample_id,cell_line,passage,study_part,percent_oxygen,treatment_clean,treatment_full,pdl,percent_lifespan,clinical_condition,donor_age,cell_type,sex,days_grown,telomere_length,telomere_length_cv,mtdna_cn,rnaseq_id,methylation_basename,clock_horvath1,clock_horvath2,clock_hannum,clock_phenoage,clock_grimage,clock_dnamtl,clock_dnamsen,clock_skin,clock_dunedin,grim_adm,grim_b2m,grim_cystatin,grim_gdf15,grim_leptin,grim_pai1,grim_timp1,pdl_norm,pdl_bin,has_rna,has_met,has_telomere,has_mtdna,has_img,has_clocks,n_modalities,rna_matrix_col,met_matrix_col,fold,senescence_score,sasp_score,mito_rna_score
2,hFB1,4.0,1,21,Control,Control_21,2.82,,Normal,29.0,Primary Human Fibroblast (forearm),male,3.9,1.18,0.02,338.58,,203784950011_R01C01,32.31,30.11,-8.97,16.75,40.84,5.61,-2.98,,0.191459149,331.57,1742869.59,747951.86,405.38,14378.39,-1355.36,32261.75,0.04671968190854871,early,False,True,True,True,True,True,4,,203784950011_R01C01 beta,2.0,,,
4,hFB1,6.0,1,21,Control,Control_21,7.4,,Normal,29.0,Primary Human Fibroblast (forearm),male,11.9,1.01,0.01,276.98,,203784950064_R03C01,39.82,26.75,-8.31,24.66,41.41,5.42,-2.04,,0.28391522,339.54,1667589.6,703510.82,249.48,11234.02,-87.14,32710.05,0.12259774685222002,early,False,True,True,True,True,True,4,,203784950064_R03C01 beta,2.0,,,
7,hFB1,9.0,1,21,Control,Control_21,17.94,,Normal,29.0,Primary Human Fibroblast (forearm),male,24.85,0.98,0.03,313.44,,203784950028_R06C01,54.72,24.49,-1.22,38.66,50.95,5.18,-1.55,,0.619482822,368.53,1590087.06,682637.49,418.11,14648.62,12867.74,33794.89,0.29721669980119286,early,False,True,True,True,True,True,4,,203784950028_R06C01 beta,2.0,,,
11,hFB1,13.0,1,21,Control,Control_21,32.79,,Normal,29.0,Primary Human Fibroblast (forearm),male,45.44,0.7,0.11,441.92,,203784950092_R02C01,65.44,27.98,7.76,52.4,53.27,5.04,-0.18,,0.708923576,374.02,1634205.1,718934.15,705.58,18789.84,10830.27,34033.29,0.5432405566600398,mid,False,True,True,True,True,True,4,,203784950092_R02C01 beta,2.0,,,
14,hFB1,16.0,1,21,Control,Control_21,44.36,,Normal,29.0,Primary Human Fibroblast (forearm),male,61.06,0.64,0.13,371.65,,203784950049_R04C01,76.37,33.87,8.64,46.26,53.6,4.89,2.18,,0.599255368,382.41,1709377.25,777030.8,575.02,21018.52,3587.49,34047.08,0.7349237905897945,late,False,True,True,True,True,True,4,,203784950049_R04C01 beta,2.0,,,
18,hFB1,20.0,1,21,Control,Control_21,52.92,,Normal,29.0,Primary Human Fibroblast (forearm),male,84.1,0.78,0.02,771.89,,203784950058_R06C01,68.3,36.0,10.79,50.34,58.44,5.0,3.95,,0.595661085,402.56,1682140.22,817196.12,372.66,25052.07,1687.23,34527.04,0.8767395626242546,late,False,True,True,True,True,True,4,,203784950058_R06C01 beta,2.0,,,
23,hFB1,25.0,1,21,Control,Control_21,57.23,,Normal,29.0,Primary Human Fibroblast (forearm),male,116.94,0.68,0.0,1382.93,,203784950010_R04C01,68.36,33.29,12.1,52.46,58.55,4.99,5.55,,0.642224673,410.57,1598400.12,803699.18,465.54,26150.31,2702.17,35066.87,0.9481444665341285,late,False,True,True,True,True,True,4,,203784950010_R04C01 beta,2.0,,,
25,hFB2,5.0,1,21,Control,Control_21,3.08,,Normal,36.0,Primary Human Fibroblast (forearm),female,4.0,1.01,0.04,289.43,,203833030066_R02C01,43.51,35.6,8.32,39.01,62.49,5.48,-2.14,,0.388113651,374.31,1903246.26,734537.39,157.17,31915.14,23398.28,35672.22,0.09058823529411765,early,False,True,True,True,True,True,4,,203833030066_R02C01 beta,2.0,,,
27,hFB2,7.0,1,21,Control,Control_21,9.93,,Normal,36.0,Primary Human Fibroblast (forearm),female,12.0,0.95,0.02,393.56,,203784950028_R05C01,35.89,30.21,8.17,36.55,63.17,5.57,-0.33,,0.34138735,440.93,1861272.15,716149.67,17.83,32189.64,19566.15,34107.72,0.29205882352941176,early,False,True,True,True,True,True,4,,203784950028_R05C01 beta,2.0,,,
30,hFB2,10.0,1,21,Control,Control_21,21.11,,Normal,36.0,Primary Human Fibroblast (forearm),female,27.23,0.76,0.06,419.97,,203833030069_R06C01,33.0,22.13,9.02,35.47,59.86,5.63,3.93,,0.213395602,458.33,1862663.52,703503.2,-276.34,40194.24,11475.38,32766.79,0.6208823529411764,mid,False,True,True,True,True,True,4,,203833030069_R06C01 beta,2.0,,,
32,hFB2,12.0,1,21,Control,Control_21,25.71,,Normal,36.0,Primary Human Fibroblast (forearm),female,37.23,0.76,0.01,587.81,,203784950027_R03C01,38.65,23.89,11.23,37.24,59.05,5.49,3.92,,0.221627427,444.25,1844880.21,724756.57,-154.37,38809.24,10749.75,33112.62,0.7561764705882353,late,False,True,True,True,True,True,4,,203784950027_R03C01 beta,2.0,,,
